date,      time,           trace
10.09.2018,00:32:24.792553,bot returned response
10.09.2018,00:47:08.817938,bot returned response
10.09.2018,00:47:50.183173,bot returned response
10.09.2018,00:52:28.814037,bot returned response
10.09.2018,00:54:32.580631,bot returned response
10.09.2018,00:58:49.816967,bot waked up
10.09.2018,00:59:17.387279,bot returned response
10.09.2018,00:59:22.686105,bot returned response
10.09.2018,00:59:43.318915,bot returned response
10.09.2018,01:00:05.746654,bot was interrupted by error:('22012', '[22012] [Microsoft][SQL Server Native Client 11.0][SQL Server]Обнаружена ошибка: деление на ноль. (8134) (SQLExecDirectW)') in main
10.09.2018,01:00:05.746654,bot restart attempt
10.09.2018,01:00:07.760320,bot waked up
10.09.2018,01:00:39.171457,bot returned response
10.09.2018,01:00:55.888248,bot returned response
10.09.2018,15:26:09.182930,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
10.09.2018,15:26:09.182930,bot restart attempt
10.09.2018,15:26:11.364566,bot waked up
10.09.2018,18:49:30.559882,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
10.09.2018,18:49:30.560857,bot restart attempt
10.09.2018,18:49:32.722966,bot waked up
10.09.2018,23:13:16.198551,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
10.09.2018,23:13:16.199534,bot restart attempt
10.09.2018,23:13:18.304022,bot waked up
10.09.2018,23:20:52.228823,bot waked up
10.09.2018,23:21:52.303048,bot returned response
10.09.2018,23:22:29.110660,bot returned response
10.09.2018,23:28:07.039372,bot waked up
10.09.2018,23:28:57.622381,bot returned response
10.09.2018,23:38:50.837223,bot waked up
10.09.2018,23:39:10.994454,bot was interrupted by error:write() argument must be str, not float in main
10.09.2018,23:39:10.995433,bot restart attempt
10.09.2018,23:39:12.826482,bot waked up
10.09.2018,23:39:44.156557,bot was interrupted by error:write() argument must be str, not float in main
10.09.2018,23:39:44.157535,bot restart attempt
10.09.2018,23:39:46.083318,bot waked up
10.09.2018,23:43:26.814765,bot waked up
10.09.2018,23:44:08.391912,bot returned response
11.09.2018,00:07:38.323555,bot waked up
11.09.2018,00:07:56.896799,bot returned response
11.09.2018,00:08:28.852848,bot returned response
11.09.2018,00:15:26.402658,bot waked up
11.09.2018,00:15:56.964186,bot returned response
11.09.2018,00:16:44.708322,bot waked up
11.09.2018,00:18:04.297189,bot returned response
11.09.2018,00:18:41.330388,bot waked up
11.09.2018,00:19:07.674156,bot returned response
11.09.2018,00:21:11.802064,bot returned response
11.09.2018,00:23:39.533512,bot waked up
11.09.2018,00:24:23.236641,bot returned response
11.09.2018,00:52:25.451482,bot waked up
11.09.2018,00:53:09.194641,bot returned response
11.09.2018,00:53:15.534491,bot returned response
11.09.2018,00:53:22.379217,bot returned response
11.09.2018,00:53:46.081359,bot returned response
11.09.2018,00:54:34.456136,bot returned response
11.09.2018,00:55:12.390937,bot was interrupted by error:('22012', '[22012] [Microsoft][SQL Server Native Client 11.0][SQL Server]Обнаружена ошибка: деление на ноль. (8134) (SQLExecDirectW)') in main
11.09.2018,00:55:12.391916,bot restart attempt
11.09.2018,00:55:14.468084,bot waked up
11.09.2018,00:55:54.648749,bot returned response
11.09.2018,06:27:04.137037,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
11.09.2018,06:27:04.138007,bot restart attempt
11.09.2018,06:27:06.136057,bot waked up
11.09.2018,15:04:43.366517,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
11.09.2018,15:04:43.368481,bot restart attempt
11.09.2018,17:05:45.147771,bot failed to connect
11.09.2018,17:05:48.175111,bot waked up
11.09.2018,19:44:33.963196,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
11.09.2018,19:44:33.965153,bot restart attempt
11.09.2018,19:44:35.959296,bot waked up
11.09.2018,23:44:01.690734,bot returned response
11.09.2018,23:44:50.716133,bot waked up
11.09.2018,23:45:24.817691,bot returned response
12.09.2018,00:12:02.974927,bot waked up
12.09.2018,00:13:34.413396,bot returned response
12.09.2018,00:17:49.493476,bot waked up
12.09.2018,00:18:24.220034,bot returned response
12.09.2018,23:07:31.763329,bot waked up
12.09.2018,23:08:43.269192,bot waked up
12.09.2018,23:22:19.519210,bot returned response
13.09.2018,00:22:21.074853,bot waked up
13.09.2018,03:50:08.467217,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
13.09.2018,03:50:08.467432,bot restart attempt
13.09.2018,03:50:10.584639,bot waked up
13.09.2018,21:25:52.465471,bot was interrupted by error:Unable to send due to closed RTM websocket in main
13.09.2018,21:25:52.466457,bot restart attempt
